movement_onset	onset	response_time	planning	condition	experiment_exp_id	key_press	problem_id	trial_type	trigger_times	worker_id	junk	duration
202.887	202.534	-0.3542113402061856	0	PA_with_intermediate	ward_and_allport	71	18.0	poldrack-single-stim	261033	s633	False	
203.234	202.889	-0.36221134020618556	0	PA_with_intermediate	ward_and_allport	89	18.0	poldrack-single-stim		s633	False	
203.239	203.24	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	18.0	poldrack-single-stim	261712,262392,263073,263752,264434,265113	s633	True	
208.721	207.286	0.7277886597938145	1	PA_with_intermediate	ward_and_allport	71	19.0	poldrack-single-stim	265794,266473	s633	False	2.985
209.66	208.723	0.2297886597938144	0	PA_with_intermediate	ward_and_allport	82	19.0	poldrack-single-stim	267153,267833	s633	False	
210.164	209.669	-0.2122113402061856	0	PA_with_intermediate	ward_and_allport	71	19.0	poldrack-single-stim	268512	s633	False	
210.744	210.165	-0.12821134020618558	0	PA_with_intermediate	ward_and_allport	89	19.0	poldrack-single-stim		s633	False	
212.751	210.751	1.2927886597938145	0	PA_with_intermediate	ward_and_allport	89	19.0	poldrack-single-stim	269192,269872,270552	s633	False	
213.277	212.752	-0.1822113402061856	0	PA_with_intermediate	ward_and_allport	71	19.0	poldrack-single-stim	271233	s633	False	
213.741	213.284	-0.2502113402061856	0	PA_with_intermediate	ward_and_allport	82	19.0	poldrack-single-stim	271913	s633	False	
214.056	213.743	-0.3942113402061856	0	PA_with_intermediate	ward_and_allport	71	19.0	poldrack-single-stim		s633	False	
215.176	214.062	0.4067886597938144	0	PA_with_intermediate	ward_and_allport	71	19.0	poldrack-single-stim	272592,273272	s633	False	
215.573	215.177	-0.31121134020618557	0	PA_with_intermediate	ward_and_allport	89	19.0	poldrack-single-stim	273952	s633	False	
215.92	215.58	-0.36721134020618557	0	PA_with_intermediate	ward_and_allport	71	19.0	poldrack-single-stim		s633	False	
216.299	215.92	-0.3282113402061856	0	PA_with_intermediate	ward_and_allport	82	19.0	poldrack-single-stim	274632	s633	False	
216.793	216.307	-0.22121134020618557	0	PA_with_intermediate	ward_and_allport	89	19.0	poldrack-single-stim		s633	False	
217.701	216.794	0.1997886597938144	0	PA_with_intermediate	ward_and_allport	82	19.0	poldrack-single-stim	275312,275993	s633	False	
217.711	217.712	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	19.0	poldrack-single-stim	276672,277352,278032	s633	True	
222.608	219.991	1.9097886597938145	1	PA_with_intermediate	ward_and_allport	82	20.0	poldrack-single-stim	278712,279392,280072,280752	s633	False	2.985
222.933	222.609	-0.3832113402061856	0	PA_with_intermediate	ward_and_allport	89	20.0	poldrack-single-stim		s633	False	
224.427	222.941	0.7787886597938144	0	PA_with_intermediate	ward_and_allport	82	20.0	poldrack-single-stim	281432,282114,282793	s633	False	
224.7	224.428	-0.43521134020618557	0	PA_with_intermediate	ward_and_allport	71	20.0	poldrack-single-stim		s633	False	
225.364	224.708	-0.051211340206185584	0	PA_with_intermediate	ward_and_allport	89	20.0	poldrack-single-stim	283472	s633	False	
225.777	225.365	-0.29521134020618556	0	PA_with_intermediate	ward_and_allport	71	20.0	poldrack-single-stim	284152	s633	False	
225.787	225.788	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	20.0	poldrack-single-stim	284833,285513,286193	s633	True	
229.575	227.932	0.9357886597938144	1	PA_with_intermediate	ward_and_allport	71	21.0	poldrack-single-stim	286873,287552	s633	False	2.985
229.914	229.577	-0.37021134020618557	0	PA_with_intermediate	ward_and_allport	82	21.0	poldrack-single-stim	288233	s633	False	
230.246	229.92	-0.3812113402061856	0	PA_with_intermediate	ward_and_allport	71	21.0	poldrack-single-stim		s633	False	
230.568	230.248	-0.3872113402061856	0	PA_with_intermediate	ward_and_allport	89	21.0	poldrack-single-stim	288914	s633	False	
231.12	230.575	-0.16221134020618558	0	PA_with_intermediate	ward_and_allport	82	21.0	poldrack-single-stim		s633	False	
231.526	231.121	-0.30221134020618556	0	PA_with_intermediate	ward_and_allport	89	21.0	poldrack-single-stim	289593	s633	False	
231.534	231.535	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	21.0	poldrack-single-stim	290272,290953,291633	s633	True	
235.276	233.542	1.0267886597938145	1	PA_with_intermediate	ward_and_allport	89	22.0	poldrack-single-stim	292313,292993	s633	False	2.985
