movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	worker_id	junk
225.171	223.826	1.47	-0.018588957055214735	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
229.172	227.833	1.47	-0.024588957055214734	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
233.862	232.52	1.47	-0.021588957055214734	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
237.705	236.526	1.47	-0.18458895705521475	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
243.919	242.71	1.47	-0.15458895705521475	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
248.201	246.853	1.47	-0.015588957055214734	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
252.276	250.997	1.47	-0.08458895705521473	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
256.297	255.004	1.47	-0.07058895705521473	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
260.689	259.42	1.47	-0.09458895705521474	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
264.569	263.564	1.47	-0.3585889570552147	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	True
268.934	267.57	1.47	0.00041104294478526524	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
273.372	271.985	1.47	0.023411042944785264	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
278.075	276.671	1.47	0.040411042944785265	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
