onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	trigger_times	worker_id	junk
272.25	0.56	-0.032740157480314905	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	398638,399320,399999,400679	s629	False
274.806	0.56	-0.6257401574803149	200.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	401359,402038,402719,403399	s629	False
277.561	0.56	0.031259842519685097	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	404078,404759,405439,406119	s629	False
280.317	0.56	-0.0777401574803149	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	406799,407479,408159,408839	s629	False
282.972	0.56	0.1762598425196851	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	409519,410199,410879	s629	False
285.426	0.56	0.000259842519685094	200.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	411559,412239,412919,413600	s629	False
287.682	0.56	0.014259842519685094	200.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	414279,414960,415640	s629	False
290.037	0.56	0.4082598425196851	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	416320,417000,417680,418360	s629	False
292.493	0.56	0.053259842519685095	200.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	419040,419721,420400,421080	s629	False
295.548	0.56	0.0902598425196851	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	421759,422438,423119,423799	s629	False
297.904	0.56	0.2452598425196851	200.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	424478,425159,425838	s629	False
300.16	0.56	-0.055740157480314904	200.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	426519,427199,427879	s629	False
302.516	0.56	0.3852598425196851	200.0	0.0	motor_selective_stop_signal	89.0	True	89.0	False	noncrit_nosignal	428559,429239,429919,430599	s629	True
304.873	0.56	0.3492598425196851	200.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	431279,431959,432639	s629	False
307.228	0.56	0.1922598425196851	200.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	433319,433999,434679,435359	s629	False
309.584	0.56	-0.06674015748031491	200.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	436040,436719,437399	s629	False
311.936	0.56	-0.013740157480314905	200.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	438080,438761,439440,440121	s629	False
314.192	0.56	0.0662598425196851	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	440800,441480,442160	s629	False
316.549	0.56	-0.056740157480314905	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	442840,443520,444200,444880	s629	False
319.004	0.56	0.05725984251968509	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	445559,446240,446920	s629	False
321.359	0.56	0.1962598425196851	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	447599,448278,448959,449639	s629	False
324.216	0.56	0.0772598425196851	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	450320,450998,451678,452359	s629	False
326.771	0.56	-0.04374015748031491	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	453039,453719,454399,455079	s629	False
329.527	0.56	0.2762598425196851	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	455759,456439,457119	s629	False
331.783	0.56	0.0822598425196851	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	457799,458479,459159,459839	s629	False
334.04	0.56	0.42325984251968507	150.0	0.0	motor_selective_stop_signal	71.0	True	89.0	False	crit_stop_failure	460521,461199,461879,462559	s629	True
336.895	0.56	0.2332598425196851	100.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	463240,463920,464600	s629	False
339.251	0.56	-0.025740157480314906	100.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	465280,465960,466640,467319	s629	False
341.507	0.56	-0.6257401574803149	100.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	468000,468680,469360	s629	False
