"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration"
"","400","71","2250","0","stim","stop-signal","66","193201","0.0-24.0-31.0","stop_signal","191301,191982,192661","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","31","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","250","stop","500"
"","596","89","2658","0","stim","stop-signal","67","195864","0.0-24.0-32.0","stop_signal","193341,194021,194701,195380","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","","test","32","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","200","go","500"
"","533","71","2658","0","stim","stop-signal","68","198528","0.0-24.0-33.0","stop_signal","196060,196740,197420,198100","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","","test","33","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","200","go","500"
"","454","71","2250","0","stim","stop-signal","69","200784","0.0-24.0-34.0","stop_signal","198780,199460,200140","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","34","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","200","go","500"
"","492","89","2250","0","stim","stop-signal","70","203040","0.0-24.0-35.0","stop_signal","200820,201500,202181,202860","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","","test","35","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","200","go","500"
"","415","71","2386","0","stim","stop-signal","71","205432","0.0-24.0-36.0","stop_signal","203539,204220,204900","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","","test","36","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","200","go","500"
"","700","89","2794","0","stim","stop-signal","72","208232","0.0-24.0-37.0","stop_signal","205580,206260,206940,207620","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","","test","37","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","200","stop","500"
"","557","71","2386","0","stim","stop-signal","73","210625","0.0-24.0-38.0","stop_signal","208300,208980,209660,210340","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","38","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","150","stop","500"
"","-1","-1","2250","0","stim","stop-signal","74","212881","0.0-24.0-39.0","stop_signal","211020,211700,212382","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","false","71","","test","39","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","100","stop","500"
"","-1","-1","2250","0","stim","stop-signal","75","215136","0.0-24.0-40.0","stop_signal","213060,213741,214420,215100","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","false","89","","test","40","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","150","stop","500"
"","-1","-1","7500","1000","rest_block","poldrack-single-stim","76","222643","0.0-25.0","stop_signal","215781,216460,217141,217821,218501,219181,219861,220541,221221,221901,222581","","<div class = centerbox><div class = center-text>Take a break!<br>Next run will start in a moment</div></div>","none","7500","","","","","","","","",""
"","-1","-1","1500","500","test_start_block","poldrack-single-stim","77","225153","0.0-26.0","stop_signal","223260,223940,224619","","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","","",""
"","556","71","2250","0","stim","stop-signal","78","227910","0.0-27.0-0.0","stop_signal","225299,225979,226660,227340","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","","test","41","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","200","stop","500"
"","469","89","2658","0","stim","stop-signal","79","230573","0.0-27.0-1.0","stop_signal","228020,228700,229380,230060","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","","test","42","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","150","go","500"
"","513","89","2658","0","stim","stop-signal","80","233236","0.0-27.0-2.0","stop_signal","230740,231420,232100,232781","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","","test","43","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","150","go","500"
"","562","71","2250","0","stim","stop-signal","81","235493","0.0-27.0-3.0","stop_signal","233460,234140,234820","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","","test","44","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","150","go","500"
"","805","71","2522","0","stim","stop-signal","82","238020","0.0-27.0-4.0","stop_signal","235501,236180,236860,237540","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","false","89","","test","45","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","150","go","500"
"","532","71","2250","0","stim","stop-signal","83","240274","0.0-27.0-5.0","stop_signal","238220,238900,239581,240260","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","46","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","150","go","500"
