,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
156,2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",645,500.0,,137674,probe,30.0,poldrack-single-stim,s546
159,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",334,500.0,,141817,probe,31.0,poldrack-single-stim,s546
162,2180.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",281,500.0,,146503,probe,32.0,poldrack-single-stim,s546
165,2044.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",692,500.0,,151052,probe,33.0,poldrack-single-stim,s546
168,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",558,500.0,,155329,probe,34.0,poldrack-single-stim,s546
171,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",662,500.0,,159335,probe,35.0,poldrack-single-stim,s546
174,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",597,500.0,,164020,probe,36.0,poldrack-single-stim,s546
177,2452.0,AY,0.0,71.0,test,dot_pattern_expectancy,89.0,"89,71",419,500.0,,168978,probe,37.0,poldrack-single-stim,s546
180,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",389,500.0,,173120,probe,38.0,poldrack-single-stim,s546
183,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",570,500.0,,177533,probe,39.0,poldrack-single-stim,s546
184,7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,185036,rest_block,,poldrack-single-stim,s546
188,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",468,500.0,,192317,probe,0.0,poldrack-single-stim,s546
191,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",441,500.0,,196323,probe,1.0,poldrack-single-stim,s546
194,2452.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",495,500.0,,201279,probe,2.0,poldrack-single-stim,s546
197,1772.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",634,500.0,,205559,probe,3.0,poldrack-single-stim,s546
200,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",648,500.0,,209971,probe,4.0,poldrack-single-stim,s546
203,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",500,500.0,,214385,probe,5.0,poldrack-single-stim,s546
206,2588.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",517,500.0,,219479,probe,6.0,poldrack-single-stim,s546
209,1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",860,500.0,,223486,probe,7.0,poldrack-single-stim,s546
212,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",280,500.0,,227492,probe,8.0,poldrack-single-stim,s546
215,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",336,500.0,,231497,probe,9.0,poldrack-single-stim,s546
218,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",556,500.0,,235640,probe,10.0,poldrack-single-stim,s546
221,2044.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",618,500.0,,240191,probe,11.0,poldrack-single-stim,s546
224,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",378,500.0,,244469,probe,12.0,poldrack-single-stim,s546
227,2588.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",239,500.0,,249561,probe,13.0,poldrack-single-stim,s546
230,1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",676,500.0,,253567,probe,14.0,poldrack-single-stim,s546
233,2452.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",518,500.0,,258525,probe,15.0,poldrack-single-stim,s546
236,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",312,500.0,,262666,probe,16.0,poldrack-single-stim,s546
239,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",528,500.0,,266808,probe,17.0,poldrack-single-stim,s546
242,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",412,500.0,,270815,probe,18.0,poldrack-single-stim,s546
245,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",308,500.0,,274957,probe,19.0,poldrack-single-stim,s546
248,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",483,500.0,,278962,probe,20.0,poldrack-single-stim,s546
251,2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",605,500.0,,283648,probe,21.0,poldrack-single-stim,s546
254,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",387,500.0,,287654,probe,22.0,poldrack-single-stim,s546
257,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",441,500.0,,292068,probe,23.0,poldrack-single-stim,s546
260,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",245,500.0,,296209,probe,24.0,poldrack-single-stim,s546
263,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",227,500.0,,300350,probe,25.0,poldrack-single-stim,s546
266,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",352,500.0,,304492,probe,26.0,poldrack-single-stim,s546
269,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",545,500.0,,308496,probe,27.0,poldrack-single-stim,s546
272,2044.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",303,500.0,,313046,probe,28.0,poldrack-single-stim,s546
275,2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",472,500.0,,317732,probe,29.0,poldrack-single-stim,s546
278,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",563,500.0,,321874,probe,30.0,poldrack-single-stim,s546
281,1772.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",649,500.0,,326151,probe,31.0,poldrack-single-stim,s546
284,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",302,500.0,,330157,probe,32.0,poldrack-single-stim,s546
287,1908.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",389,500.0,,334571,probe,33.0,poldrack-single-stim,s546
290,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",378,500.0,,339122,probe,34.0,poldrack-single-stim,s546
