,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
140,100.0,2000.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",760.0,orange,1000.0,6.0,magnitude,stay,,37929,stim,11.0,poldrack-single-stim,s373
143,900.0,2136.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",567.0,#1F45FC,1000.0,1.0,magnitude,stay,,40969,stim,12.0,poldrack-single-stim,s373
146,900.0,2136.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",503.0,#1F45FC,1000.0,7.0,magnitude,stay,,44008,stim,13.0,poldrack-single-stim,s373
149,900.0,2272.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",505.0,#1F45FC,1000.0,6.0,color,switch,,47184,stim,14.0,poldrack-single-stim,s373
152,100.0,3224.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",817.0,orange,1000.0,2.0,color,stay,,50516,stim,15.0,poldrack-single-stim,s373
155,100.0,2000.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",771.0,#1F45FC,1000.0,1.0,color,stay,,52623,stim,16.0,poldrack-single-stim,s373
158,900.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",574.0,#1F45FC,1000.0,6.0,magnitude,switch,,55529,stim,17.0,poldrack-single-stim,s373
161,100.0,2272.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",966.0,#1F45FC,1000.0,4.0,color,switch,,57914,stim,18.0,poldrack-single-stim,s373
164,900.0,2136.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",588.0,#1F45FC,1000.0,1.0,magnitude,switch,,60960,stim,19.0,poldrack-single-stim,s373
167,100.0,2000.0,True,89.0,High-Low,switch,test,twobytwo,,89.0,"89,71",1068.0,#1F45FC,1000.0,4.0,magnitude,stay,,63071,stim,20.0,poldrack-single-stim,s373
170,100.0,2000.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",789.0,orange,1000.0,6.0,magnitude,stay,,65181,stim,21.0,poldrack-single-stim,s373
