,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
81,PA_without_intermediate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",89,3.0,2.0,"89,82",2.0,,1835,"1,2,3,0,0,0,0,0,0",,78845,to_hand,poldrack-single-stim,499
82,PA_without_intermediate,,"1,0,0,0,0,0,3,2,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",82,3.0,2.0,"89,71,82",2.0,,468,"1,2,3,0,0,0,0,0,0",,79315,to_board,poldrack-single-stim,499
83,PA_without_intermediate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",89,3.0,3.0,"89,82",2.0,,741,"1,2,3,0,0,0,0,0,0",,80062,to_hand,poldrack-single-stim,499
84,PA_without_intermediate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",71,3.0,3.0,"89,71,82",2.0,,234,"1,2,3,0,0,0,0,0,0",,80298,to_board,poldrack-single-stim,499
85,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,9243.0,-1,,,82307,feedback,poldrack-single-stim,499
86,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",89,3.0,1.0,89,3.0,,4788,"1,2,3,0,0,0,0,0,0",,87101,to_hand,poldrack-single-stim,499
87,PA_without_intermediate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",82,3.0,1.0,"89,71,82",3.0,,510,"1,2,3,0,0,0,0,0,0",,87613,to_board,poldrack-single-stim,499
88,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",82,3.0,2.0,"89,82",3.0,,3014,"1,2,3,0,0,0,0,0,0",,90634,to_hand,poldrack-single-stim,499
89,PA_without_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",71,3.0,2.0,"89,71,82",3.0,,476,"1,2,3,0,0,0,0,0,0",,91112,to_board,poldrack-single-stim,499
90,PA_without_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",89,3.0,3.0,"89,71",3.0,,979,"1,2,3,0,0,0,0,0,0",,92098,to_hand,poldrack-single-stim,499
91,PA_without_intermediate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",82,3.0,3.0,"89,71,82",3.0,,340,"1,2,3,0,0,0,0,0,0",,92441,to_board,poldrack-single-stim,499
92,PA_without_intermediate,,"0,0,0,3,0,0,2,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",89,3.0,4.0,"89,71,82",3.0,,3616,"1,2,3,0,0,0,0,0,0",,96064,to_hand,poldrack-single-stim,499
93,PA_without_intermediate,,"0,0,0,3,0,0,2,1,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",82,3.0,4.0,"89,71,82",3.0,,616,"1,2,3,0,0,0,0,0,0",,96683,to_board,poldrack-single-stim,499
94,PA_without_intermediate,,"0,0,0,3,0,0,2,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",82,3.0,5.0,"71,82",3.0,,4033,"1,2,3,0,0,0,0,0,0",,100723,to_hand,poldrack-single-stim,499
95,PA_without_intermediate,,"0,0,0,3,1,0,2,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",71,3.0,5.0,"89,71,82",3.0,,402,"1,2,3,0,0,0,0,0,0",,101127,to_board,poldrack-single-stim,499
96,,True,,test,ward_and_allport,,-1,3.0,5.0,none,,20828.0,-1,,,103135,feedback,poldrack-single-stim,499
97,PA_with_intermediate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"2,3,0,1,0,0,0,0,0",71,3.0,1.0,71,4.0,,4351,"0,0,0,1,2,3,0,0,0",,107493,to_hand,poldrack-single-stim,499
