CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
100.0,2000.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",827.0,#1F45FC,1000.0,2.0,magnitude,stay,,23790,0.0,stim,6.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",529.0,orange,1000.0,2.0,magnitude,stay,,25897,0.0,stim,7.0,poldrack-single-stim,s499
900.0,2272.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",492.0,orange,1000.0,2.0,color,switch,,29075,0.0,stim,8.0,poldrack-single-stim,s499
900.0,2408.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",553.0,orange,1000.0,8.0,magnitude,switch,,32391,0.0,stim,9.0,poldrack-single-stim,s499
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",673.0,#1F45FC,1000.0,4.0,color,switch,,35299,0.0,stim,10.0,poldrack-single-stim,s499
900.0,2136.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",605.0,orange,1000.0,3.0,color,stay,,38341,0.0,stim,11.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",943.0,orange,1000.0,3.0,magnitude,switch,,40459,0.0,stim,12.0,poldrack-single-stim,s499
100.0,2408.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",919.0,orange,1000.0,9.0,color,switch,,42974,0.0,stim,13.0,poldrack-single-stim,s499
100.0,2272.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",860.0,orange,1000.0,9.0,color,stay,,45352,0.0,stim,14.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",648.0,orange,1000.0,3.0,magnitude,switch,,47459,0.0,stim,15.0,poldrack-single-stim,s499
100.0,2272.0,True,89.0,High-Low,switch,test,twobytwo,,89.0,"89,71",946.0,#1F45FC,1000.0,7.0,magnitude,stay,,49839,0.0,stim,16.0,poldrack-single-stim,s499
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",468.0,#1F45FC,1000.0,6.0,color,switch,,52745,0.0,stim,17.0,poldrack-single-stim,s499
900.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",693.0,#1F45FC,1000.0,3.0,magnitude,switch,,55652,0.0,stim,18.0,poldrack-single-stim,s499
100.0,2272.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",883.0,#1F45FC,1000.0,9.0,magnitude,stay,,58034,0.0,stim,19.0,poldrack-single-stim,s499
100.0,2136.0,False,89.0,Color,,test,twobytwo,,71.0,"89,71",736.0,#1F45FC,1000.0,3.0,color,switch,,60276,0.0,stim,20.0,poldrack-single-stim,s499
100.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1051.0,#1F45FC,1000.0,9.0,magnitude,switch,,62382,0.0,stim,21.0,poldrack-single-stim,s499
900.0,2000.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",722.0,orange,1000.0,6.0,magnitude,stay,,65288,0.0,stim,22.0,poldrack-single-stim,s499
900.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",568.0,orange,1000.0,3.0,color,switch,,68192,0.0,stim,23.0,poldrack-single-stim,s499
100.0,2000.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",1067.0,#1F45FC,1000.0,4.0,color,stay,,70298,0.0,stim,24.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",898.0,orange,1000.0,9.0,color,stay,,72404,0.0,stim,25.0,poldrack-single-stim,s499
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",673.0,#1F45FC,1000.0,2.0,magnitude,switch,,75447,0.0,stim,26.0,poldrack-single-stim,s499
900.0,2000.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",618.0,orange,1000.0,3.0,magnitude,stay,,78354,0.0,stim,27.0,poldrack-single-stim,s499
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",669.0,#1F45FC,1000.0,2.0,color,switch,,81262,0.0,stim,28.0,poldrack-single-stim,s499
900.0,2136.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",677.0,orange,1000.0,9.0,color,stay,,84305,0.0,stim,29.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",856.0,orange,1000.0,4.0,color,stay,,86412,0.0,stim,30.0,poldrack-single-stim,s499
100.0,2136.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",947.0,#1F45FC,1000.0,7.0,magnitude,switch,,88654,0.0,stim,31.0,poldrack-single-stim,s499
100.0,2680.0,False,89.0,Color,,test,twobytwo,,71.0,"89,71",694.0,#1F45FC,1000.0,2.0,color,switch,,91441,0.0,stim,32.0,poldrack-single-stim,s499
900.0,2272.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",578.0,orange,1000.0,3.0,color,stay,,94619,0.0,stim,33.0,poldrack-single-stim,s499
900.0,2136.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",949.0,orange,1000.0,7.0,color,stay,,97662,0.0,stim,34.0,poldrack-single-stim,s499
900.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",733.0,orange,1000.0,9.0,magnitude,switch,,100568,0.0,stim,35.0,poldrack-single-stim,s499
100.0,2136.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",1232.0,orange,1000.0,3.0,color,switch,,102809,0.0,stim,36.0,poldrack-single-stim,s499
