,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
88,2583.0,PA_without_intermediate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",71,3.0,1.0,71,5.0,,2583,"0,0,0,1,2,3,0,0,0",2583.0,,88286,to_hand,poldrack-single-stim,s572
89,281.0,PA_without_intermediate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",89,3.0,1.0,"89,71,82",5.0,,281,"0,0,0,1,2,3,0,0,0",281.0,,88568,to_board,poldrack-single-stim,s572
90,493.0,PA_without_intermediate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",71,3.0,2.0,"89,71",5.0,,493,"0,0,0,1,2,3,0,0,0",493.0,,89064,to_hand,poldrack-single-stim,s572
91,288.0,PA_without_intermediate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",89,3.0,2.0,"89,71,82",5.0,,288,"0,0,0,1,2,3,0,0,0",288.0,,89353,to_board,poldrack-single-stim,s572
92,644.0,PA_without_intermediate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",71,3.0,3.0,"89,71",5.0,,644,"0,0,0,1,2,3,0,0,0",644.0,,90000,to_hand,poldrack-single-stim,s572
93,256.0,PA_without_intermediate,,"3,2,0,0,0,0,1,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",82,3.0,3.0,"89,71,82",5.0,,256,"0,0,0,1,2,3,0,0,0",256.0,,90258,to_board,poldrack-single-stim,s572
94,2272.0,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,6838.0,-1,,1000.0,,92538,feedback,poldrack-single-stim,s572
95,6400.0,PA_with_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,3,0,1,0,0",82,3.0,1.0,82,6.0,,6400,"0,0,0,0,0,0,1,2,3",6400.0,,98941,to_hand,poldrack-single-stim,s572
96,244.0,PA_with_intermediate,,"3,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,3,0,1,0,0",89,3.0,1.0,"89,71,82",6.0,,244,"0,0,0,0,0,0,1,2,3",244.0,,99186,to_board,poldrack-single-stim,s572
97,780.0,PA_with_intermediate,,"3,0,0,0,0,0,1,0,0",practice,ward_and_allport,"0,0,0,2,3,0,1,0,0",82,3.0,2.0,"89,82",6.0,,780,"0,0,0,0,0,0,1,2,3",780.0,,99968,to_hand,poldrack-single-stim,s572
98,260.0,PA_with_intermediate,,"3,0,0,2,0,0,1,0,0",practice,ward_and_allport,"0,0,0,2,3,0,1,0,0",71,3.0,2.0,"89,71,82",6.0,,260,"0,0,0,0,0,0,1,2,3",260.0,,100229,to_board,poldrack-single-stim,s572
99,500.0,PA_with_intermediate,,"0,0,0,2,0,0,1,0,0",practice,ward_and_allport,"0,0,0,2,3,0,1,0,0",89,3.0,3.0,"89,71,82",6.0,,500,"0,0,0,0,0,0,1,2,3",500.0,,100731,to_hand,poldrack-single-stim,s572
100,250.0,PA_with_intermediate,,"0,0,0,2,3,0,1,0,0",practice,ward_and_allport,"0,0,0,2,3,0,1,0,0",71,3.0,3.0,"89,71,82",6.0,,250,"0,0,0,0,0,0,1,2,3",250.0,,100982,to_board,poldrack-single-stim,s572
101,4040.0,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,12488.0,-1,,1000.0,,105026,feedback,poldrack-single-stim,s572
102,2795.0,PA_with_intermediate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"0,0,0,1,0,0,2,3,0",71,3.0,1.0,71,7.0,,2795,"0,0,0,1,2,3,0,0,0",2795.0,,107823,to_hand,poldrack-single-stim,s572
