,block_duration,correct,correct_response,cue,exp_stage,experiment_exp_id,feedback_duration,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
381,2100.544,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",441,1700.0,,292380,stim,106.0,poldrack-single-stim,s546
384,2100.136,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",465,1700.0,,294985,stim,107.0,poldrack-single-stim,s546
387,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",557,1700.0,,297591,stim,108.0,poldrack-single-stim,s546
390,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",529,1700.0,,300196,stim,109.0,poldrack-single-stim,s546
393,2100.0,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",577,1700.0,,302802,stim,110.0,poldrack-single-stim,s546
396,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",512,1700.0,,305407,stim,111.0,poldrack-single-stim,s546
399,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",504,1700.0,,308013,stim,112.0,poldrack-single-stim,s546
402,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",446,1700.0,,310621,stim,113.0,poldrack-single-stim,s546
405,2100.0,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",446,1700.0,,313228,stim,114.0,poldrack-single-stim,s546
408,2100.408,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",570,1700.0,,315834,stim,115.0,poldrack-single-stim,s546
411,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",560,1700.0,,318440,stim,116.0,poldrack-single-stim,s546
414,2100.8160000000003,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",753,1700.0,,321047,stim,117.0,poldrack-single-stim,s546
417,2100.68,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",513,1700.0,,323653,stim,118.0,poldrack-single-stim,s546
420,2100.0,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",552,1700.0,,326260,stim,119.0,poldrack-single-stim,s546
423,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",476,1700.0,,328867,stim,120.0,poldrack-single-stim,s546
426,2100.136,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",484,1700.0,,331474,stim,121.0,poldrack-single-stim,s546
429,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",681,1700.0,,334080,stim,122.0,poldrack-single-stim,s546
432,2100.0,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",730,1700.0,,336685,stim,123.0,poldrack-single-stim,s546
435,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",806,1700.0,,339291,stim,124.0,poldrack-single-stim,s546
438,2100.952,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",574,1700.0,,341896,stim,125.0,poldrack-single-stim,s546
441,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",939,1700.0,,344502,stim,126.0,poldrack-single-stim,s546
444,2100.408,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",725,1700.0,,347108,stim,127.0,poldrack-single-stim,s546
