,Unnamed: 0,Unnamed: 0.1,CTI,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
93,93,338,100.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",891.0,#1F45FC,8.0,color,switch,,214722,stim,77.0,poldrack-single-stim,s061
94,94,341,100.0,True,89.0,Magnitude,,test,twobytwo,89.0,"89,71",1196.0,orange,6.0,magnitude,switch,,217099,stim,78.0,poldrack-single-stim,s061
95,95,344,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",528.0,orange,1.0,color,switch,,220141,stim,79.0,poldrack-single-stim,s061
96,96,345,,,,,,,twobytwo,-1.0,none,-1.0,,,,,,230144,rest_block,,poldrack-single-stim,s061
97,97,350,100.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",923.0,#1F45FC,8.0,color,stay,,235762,stim,0.0,poldrack-single-stim,s061
98,98,353,100.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",1246.0,orange,7.0,magnitude,switch,,237869,stim,1.0,poldrack-single-stim,s061
99,99,356,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",545.0,orange,3.0,color,switch,,240778,stim,2.0,poldrack-single-stim,s061
100,100,359,100.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",1007.0,orange,2.0,magnitude,switch,,243564,stim,3.0,poldrack-single-stim,s061
101,101,362,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",470.0,#1F45FC,8.0,color,switch,,246472,stim,4.0,poldrack-single-stim,s061
102,102,365,100.0,True,89.0,Orange-Blue,stay,test,twobytwo,89.0,"89,71",806.0,#1F45FC,2.0,color,stay,,248852,stim,5.0,poldrack-single-stim,s061
103,103,368,100.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",740.0,orange,9.0,color,stay,,250958,stim,6.0,poldrack-single-stim,s061
104,104,371,900.0,True,71.0,Orange-Blue,switch,test,twobytwo,71.0,"89,71",510.0,orange,3.0,color,stay,,254136,stim,7.0,poldrack-single-stim,s061
105,105,374,100.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",1128.0,orange,8.0,magnitude,switch,,257196,stim,8.0,poldrack-single-stim,s061
106,106,377,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",516.0,orange,7.0,color,switch,,260104,stim,9.0,poldrack-single-stim,s061
107,107,380,900.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",1191.0,#1F45FC,2.0,magnitude,switch,,263012,stim,10.0,poldrack-single-stim,s061
108,108,383,100.0,True,71.0,Magnitude,switch,test,twobytwo,71.0,"89,71",988.0,orange,1.0,magnitude,stay,,265128,stim,11.0,poldrack-single-stim,s061
109,109,386,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",775.0,#1F45FC,2.0,color,switch,,268036,stim,12.0,poldrack-single-stim,s061
110,110,389,900.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",1108.0,#1F45FC,8.0,magnitude,switch,,271079,stim,13.0,poldrack-single-stim,s061
111,111,392,100.0,True,89.0,Magnitude,switch,test,twobytwo,89.0,"89,71",859.0,#1F45FC,8.0,magnitude,stay,,273184,stim,14.0,poldrack-single-stim,s061
112,112,395,100.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",752.0,orange,7.0,color,switch,,275292,stim,15.0,poldrack-single-stim,s061
113,113,398,100.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",972.0,orange,3.0,color,stay,,277399,stim,16.0,poldrack-single-stim,s061
114,114,401,100.0,False,89.0,Magnitude,,test,twobytwo,71.0,"89,71",904.0,orange,9.0,magnitude,switch,,279778,stim,17.0,poldrack-single-stim,s061
115,115,404,900.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",1145.0,orange,3.0,color,switch,,282821,stim,18.0,poldrack-single-stim,s061
116,116,407,100.0,True,71.0,Orange-Blue,stay,test,twobytwo,71.0,"89,71",914.0,orange,9.0,color,stay,,284928,stim,19.0,poldrack-single-stim,s061
117,117,410,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",866.0,#1F45FC,2.0,magnitude,switch,,287972,stim,20.0,poldrack-single-stim,s061
118,118,413,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",735.0,orange,9.0,color,switch,,291695,stim,21.0,poldrack-single-stim,s061
119,119,416,900.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",664.0,#1F45FC,7.0,color,stay,,295010,stim,22.0,poldrack-single-stim,s061
120,120,419,100.0,True,89.0,Magnitude,,test,twobytwo,89.0,"89,71",1255.0,#1F45FC,7.0,magnitude,switch,,297120,stim,23.0,poldrack-single-stim,s061
121,121,422,100.0,True,71.0,High-Low,switch,test,twobytwo,71.0,"89,71",1002.0,orange,4.0,magnitude,stay,,299363,stim,24.0,poldrack-single-stim,s061
122,122,425,900.0,True,71.0,High-Low,stay,test,twobytwo,71.0,"89,71",619.0,orange,2.0,magnitude,stay,,302408,stim,25.0,poldrack-single-stim,s061
123,123,428,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",507.0,orange,2.0,color,switch,,305450,stim,26.0,poldrack-single-stim,s061
124,124,431,100.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",851.0,orange,8.0,color,stay,,308100,stim,27.0,poldrack-single-stim,s061
125,125,434,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",734.0,#1F45FC,4.0,magnitude,switch,,311142,stim,28.0,poldrack-single-stim,s061
126,126,437,100.0,True,71.0,High-Low,switch,test,twobytwo,71.0,"89,71",957.0,orange,4.0,magnitude,stay,,313249,stim,29.0,poldrack-single-stim,s061
127,127,440,100.0,True,71.0,Magnitude,switch,test,twobytwo,71.0,"89,71",953.0,orange,4.0,magnitude,stay,,315356,stim,30.0,poldrack-single-stim,s061
128,128,443,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",460.0,orange,4.0,color,switch,,318266,stim,31.0,poldrack-single-stim,s061
129,129,446,900.0,False,89.0,Magnitude,,test,twobytwo,71.0,"89,71",771.0,orange,9.0,magnitude,switch,,321174,stim,32.0,poldrack-single-stim,s061
130,130,449,100.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",1387.0,orange,2.0,magnitude,stay,,323416,stim,33.0,poldrack-single-stim,s061
131,131,452,900.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",1239.0,#1F45FC,3.0,magnitude,stay,,326324,stim,34.0,poldrack-single-stim,s061
132,132,455,100.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",839.0,orange,3.0,color,switch,,328431,stim,35.0,poldrack-single-stim,s061
133,133,458,100.0,False,71.0,Magnitude,,test,twobytwo,89.0,"89,71",1197.0,orange,3.0,magnitude,switch,,330538,stim,36.0,poldrack-single-stim,s061
134,134,461,900.0,True,89.0,Color,,test,twobytwo,89.0,"89,71",806.0,#1F45FC,1.0,color,switch,,333581,stim,37.0,poldrack-single-stim,s061
135,135,464,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",1273.0,#1F45FC,4.0,magnitude,switch,,336624,stim,38.0,poldrack-single-stim,s061
136,136,467,100.0,False,89.0,High-Low,switch,test,twobytwo,71.0,"89,71",2054.0,orange,6.0,magnitude,stay,,338866,stim,39.0,poldrack-single-stim,s061
137,137,470,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",946.0,orange,8.0,color,switch,,341910,stim,40.0,poldrack-single-stim,s061
138,138,473,900.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",493.0,orange,9.0,color,stay,,345497,stim,41.0,poldrack-single-stim,s061
139,139,476,100.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",1008.0,#1F45FC,9.0,color,stay,,348152,stim,42.0,poldrack-single-stim,s061
140,140,479,900.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",689.0,#1F45FC,4.0,color,stay,,351332,stim,43.0,poldrack-single-stim,s061
141,141,482,900.0,True,89.0,Orange-Blue,switch,test,twobytwo,89.0,"89,71",562.0,#1F45FC,8.0,color,stay,,354510,stim,44.0,poldrack-single-stim,s061
142,142,485,100.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",893.0,#1F45FC,4.0,magnitude,switch,,357024,stim,45.0,poldrack-single-stim,s061
143,143,488,100.0,True,89.0,Color,,test,twobytwo,89.0,"89,71",1040.0,#1F45FC,6.0,color,switch,,359269,stim,46.0,poldrack-single-stim,s061
144,144,491,900.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",615.0,#1F45FC,8.0,color,stay,,362450,stim,47.0,poldrack-single-stim,s061
145,145,494,900.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",632.0,#1F45FC,8.0,color,stay,,365358,stim,48.0,poldrack-single-stim,s061
146,146,497,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",754.0,orange,3.0,magnitude,switch,,368400,stim,49.0,poldrack-single-stim,s061
147,147,500,900.0,True,89.0,Color,,test,twobytwo,89.0,"89,71",682.0,#1F45FC,9.0,color,switch,,371579,stim,50.0,poldrack-single-stim,s061
148,148,503,900.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",582.0,orange,2.0,color,stay,,374488,stim,51.0,poldrack-single-stim,s061
149,149,506,900.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",709.0,orange,7.0,magnitude,switch,,378076,stim,52.0,poldrack-single-stim,s061
150,150,509,100.0,True,71.0,Magnitude,switch,test,twobytwo,71.0,"89,71",1033.0,#1F45FC,4.0,magnitude,stay,,380182,stim,53.0,poldrack-single-stim,s061
151,151,512,100.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",1013.0,#1F45FC,9.0,color,switch,,382287,stim,54.0,poldrack-single-stim,s061
152,152,515,900.0,True,71.0,Orange-Blue,stay,test,twobytwo,71.0,"89,71",464.0,orange,1.0,color,stay,,385194,stim,55.0,poldrack-single-stim,s061
153,153,518,900.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",496.0,orange,1.0,color,stay,,388374,stim,56.0,poldrack-single-stim,s061
154,154,521,900.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",548.0,orange,3.0,color,stay,,391281,stim,57.0,poldrack-single-stim,s061
155,155,524,100.0,True,89.0,Magnitude,,test,twobytwo,89.0,"89,71",1206.0,orange,7.0,magnitude,switch,,393388,stim,58.0,poldrack-single-stim,s061
156,156,527,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",628.0,#1F45FC,2.0,color,switch,,396294,stim,59.0,poldrack-single-stim,s061
157,157,530,100.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",991.0,orange,2.0,color,stay,,399083,stim,60.0,poldrack-single-stim,s061
158,158,533,100.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",891.0,orange,1.0,magnitude,switch,,401193,stim,61.0,poldrack-single-stim,s061
159,159,536,100.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",924.0,orange,6.0,color,switch,,403436,stim,62.0,poldrack-single-stim,s061
