"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration"
"","-1","-1","2386","0","stim","stop-signal","56","199414","0.0-24.0-21.0","stop_signal","197272,197953,198632,199313","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","false","89","","test","21","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","350","stop","500"
"","-1","-1","2386","0","stim","stop-signal","57","201803","0.0-24.0-22.0","stop_signal","199993,200673,201353","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","false","71","","test","22","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","400","stop","500"
"","682","71","2250","0","stim","stop-signal","58","204059","0.0-24.0-23.0","stop_signal","202033,202713,203393","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","23","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","450","go","500"
"","641","71","2522","0","stim","stop-signal","59","206587","0.0-24.0-24.0","stop_signal","204074,204753,205433,206113","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","24","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","450","stop","500"
"","867","71","2250","0","stim","stop-signal","60","208840","0.0-24.0-25.0","stop_signal","206793,207473,208153,208833","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","25","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","400","go","500"
"","884","89","2386","0","stim","stop-signal","61","211228","0.0-24.0-26.0","stop_signal","209512,210193,210872","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","","test","26","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","400","go","500"
"","753","71","2250","0","stim","stop-signal","62","213479","0.0-24.0-27.0","stop_signal","211552,212232,212912","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","","test","27","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","400","go","500"
"","-1","-1","2250","0","stim","stop-signal","63","215735","0.0-24.0-28.0","stop_signal","213592,214274,214952,215632","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","false","89","","test","28","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","400","stop","500"
"","802","89","2386","0","stim","stop-signal","64","218124","0.0-24.0-29.0","stop_signal","216312,216993,217672","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","","test","29","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","450","go","500"
"","501","71","2522","0","stim","stop-signal","65","220652","0.0-24.0-30.0","stop_signal","218353,219032,219713,220392","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","30","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","450","go","500"
"","549","89","2386","0","stim","stop-signal","66","223041","0.0-24.0-31.0","stop_signal","221073,221752,222433","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","","test","31","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","450","go","500"
"","374","71","2522","0","stim","stop-signal","67","225564","0.0-24.0-32.0","stop_signal","223113,223793,224473,225153","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","32","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","450","go","500"
"","430","71","2930","0","stim","stop-signal","68","228498","0.0-24.0-33.0","stop_signal","225833,226513,227193,227873","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","33","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","450","stop","500"
"","532","89","2522","0","stim","stop-signal","69","231026","0.0-24.0-34.0","stop_signal","228553,229233,229913,230594","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","","test","34","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","400","go","500"
"","614","71","2522","0","stim","stop-signal","70","233553","0.0-24.0-35.0","stop_signal","231273,231954,232633,233314","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","35","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","400","go","500"
"","741","89","2250","0","stim","stop-signal","71","235805","0.0-24.0-36.0","stop_signal","233993,234675,235353","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","","test","36","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","400","go","500"
"","400","89","2522","0","stim","stop-signal","72","238333","0.0-24.0-37.0","stop_signal","236034,236713,237392,238072","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","false","71","","test","37","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","400","stop","500"
"","566","89","2386","0","stim","stop-signal","73","240720","0.0-24.0-38.0","stop_signal","238753,239432,240113","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","","test","38","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","350","go","500"
"","598","71","2250","0","stim","stop-signal","74","242973","0.0-24.0-39.0","stop_signal","240792,241473,242152,242833","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","39","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","350","go","500"
"","604","89","2386","0","stim","stop-signal","75","245364","0.0-24.0-40.0","stop_signal","243512,244192,244873","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","","test","40","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","350","go","500"
"","-1","-1","7500","1000","rest_block","poldrack-single-stim","76","252867","0.0-25.0","stop_signal","245553,246233,246913,247593,248273,248953,249633,250313,250993,251673,252353","","<div class = centerbox><div class = center-text>Take a break!<br>Next run will start in a moment</div></div>","none","7500","","","","","","","","",""
"","-1","-1","1500","500","test_start_block","poldrack-single-stim","77","255374","0.0-26.0","stop_signal","253033,253713,254393,255075","","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","","",""
"","580","89","2250","0","stim","stop-signal","78","258131","0.0-27.0-0.0","stop_signal","255753,256434,257113,257794","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","","test","41","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","350","go","500"
"","401","89","2386","0","stim","stop-signal","79","260519","0.0-27.0-1.0","stop_signal","258473,259153,259833,260514","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","","test","42","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","350","stop","500"
